1,outdoor friends,
1,professional couple,
1,delightful people,
1,young ladies,
1,sick child,
1,business travellers,
1,canine guests,
1,low teens,
1,breakfast crowd,
1,young people,
1,valuable guests,
2,last visit,
2,future visit,
2,next visit,
2,wonderful visit,
2,next trip,
2,entire trip,
3,front entry way,
3,free wifi,
3,free wifi,
3,free breakfast,
3,buffet line,
3,full elevators,
3,nice bar,
3,valet parking,
3,queen room,
3,enough luxury,
3,living pool,
3,room area,
3,parkview room,
3,valet station,
3,gorgeous grounds,
3,wonderful server,
3,perfect walking access,
3,great restaurant ,
3,great restaurant ,
3,perfect access,
3,easy access,
3,courtyard facility,
3,bistro area,
3,wonderful area,
3,great area,
3,converted barn,
3,diamond status,
3,ceiling windows,
3,meeting rooms,
3,conference rooms,
3,family rooms,
3,welcoming rooms,
3,big rooms,
3,large rooms,
3,exhibition space,
3,luxurious space,
3,clearly visible,
3,19th century farm,
3,modern amenties,
3,estate side view,
3,beautiful property,
3,impeccably clean,
3,delightfully comfortable,
3,separate bedroom,
3,quick drive,
3,offered rooms,
3,sitting area,
3,double tree suites,
3,inviting porch,2
3,wooden swing,
3,several rooms,
3,comfy rooms,
3,nice rooms,
3,awesome king bed,
3,antique furniture,
3,antiques filled room,
3,great location,
3,bedrooms kids,
3,sillehoute rooms,
3,guest rooms,
3,morning coffee,
3,victorian style rooms,
3,lugagge racks,
4,bar business,
4,overall product,
4,rare commodity,
4,sweet goods,
5,decent option,
5,self park option,
5,breakfast selction,
5,desirable option,
5,comprehensive breakfast selection,
5,great choice,
6,canine guests,
6,dog food,
6,beloved dog,
7,usual things,
7,little things,
7,small desert,
7,dear littleness,
7,little balcony,
7,small side,
7,little sunshine,
7,small desk,
8,room service,
8,booked massages,
8,car service,
8,service issues,
8,nicely room massages,
8,excellent service,
8,great customer service,
8,warm welcome,
8,real issue,
8,*online service,
8,good service,
8,friendly hosipitality,
9,housekeeping team,
9,mangement representative,
9,front desk person,
9,hotel staff,
9,bistro employees,
9,housekeeping ,
9,giving workers,
9,current employees,
9,professional massage therapist,
9,make masseuse,
9,excellent chef,
9,head chef,
9,talented artists,
9,front desk,
9,primary innkeeper,2
9,good innkeeper,
9,wonderful innkeepers,
9,polite staff,
9,incredibly kind,
9,accomodating staff,
9,friendly manner,
10,great relaxation,
10,weekend retreat,
10,personal touch,
10,great night,
10,rustic charm,
10,scenic drive,
10,quaint ambience,
10,home feeling,
10,night light,
10,ideal spot,
10,great conversations,
10,good thing,
10,good value,
10,great value,2
10,memorable staycation,
10,weekend getaway,
10,great stay,
10,european flair,
10,holiday weekend,
10,nice touch,
10,modern touch,
10,antique touches,
10,past weekend ,3
10,country atmosphere,
10,relaxing place,
10,annual trip,
10,lively conversation,
11,guest feedback,
11,helpful votes,11
11,reviews,11
11,subjective opinions,11
11,used points,
11,honest feedback,
11,couple reviews,
11,business reviews,
