six-month period,1.0
compliance efforts,1.0
legal assistance,1.0
low-income people,1.0
anticipated grantees,1.0
LSC-funded programs,1.0
equal justice partners,1.5
key partners,1.0
legal services,1.0
reporting period,1.0
state planning successes,1.5
equal justice systems,1.5
legal services,1.0
legal services programs,1.5
American grants,1.0
delivery system,1.0
major decisions,1.0
providing models,1.0
equal justice,1.0
economically disadvantaged,1.0
civil justice,1.0
stakeholder partners,1.0
state communities,1.0
grant recipients,1.0
assistance delivery system,1.5
additional resources,1.0
legal services,1.0
comprehensive system,1.0
legal services resources,1.5
legal services,1.0
services delivery systems,1.5
expanding recipients,1.0
management software,1.0
ultimate goal,1.0
general policies,1.0
technology needs,1.0
technology training,1.0
legal assistance,1.0
civil proceedings,1.0
specific provisions,1.0
legal services,1.0
client self help,1.5
general supervision,1.0
Congressional appropriation,1.0
competitive grant award system,2.0
statewide planning,1.0
program rules,1.0
legal services,1.0
significant strategies,1.0
developing performance,1.0
pilot projects,1.0
reporting period,1.0
ongoing effectiveness,1.0
strategic plan,1.0
legal assistance,1.0
legal assistance,1.0
legal services programs,1.5
improving access,1.0
legal services,1.0
expanding access,1.0
applicant information,1.0
retention strategies,1.0
staff training,1.0
comprehensive information,1.0
service area,1.0
Evaluation weights,1.0
fully electronic,1.0
national level,1.0
Several refinements,1.0
full range,1.0
grant award,1.0
applicant process,1.0
applicant staff diversity,1.5
technological capacities,1.0
delivery system,1.0
geographic area,1.0
available technology,1.0
key information,1.0
delivery system,1.0
primary goals,1.0
legal services delivery system,2.0
strategic planning,1.0
twenty-five percent,1.0
reporting period,1.0
technical assistance,1.0
state plans,1.0
planning efforts,1.0
resource development,1.0
state planning,1.0
legal services,1.0
efficient ways,1.0
2000 grant competition,1.5
hosted meetings,1.0
legal information,1.0
low-income persons,1.0
statewide web site,1.5
former recipients,1.0
total grant requests,1.5
economical structures,1.0
equal justice,1.0
Technology Efforts,1.0
statewide basis,1.0
resulting mergers,1.0
central databases,1.0
bar associations,1.0
community partners,1.0
eligible clients,1.0
site recipient reviews,1.5
program reviews,1.0
program monitoring,1.0
several states,1.0
provided technology training,1.5
reporting period,1.0
Program Visits,1.0
conducting program reviews,1.5
statewide technology plans,1.5
expanding access,1.0
enhancing quality,1.0
legal services,1.0
state courts,1.0
near future,1.0
legal assistance,1.0
additional visits,1.0
site visits,1.0
legal education,1.0
great effort,1.0
significant results,1.0
LSC-funded programs,1.0
client community,1.0
existing case management,1.5
following types,1.0
legal education materials,1.5
Indirect services,1.0
alternative dispute resolution work,2.0
appropriate improvements,1.0
Regular data,1.0
data collection instrument,1.5
legal education presentations,1.5
service delivery models,1.5
legal services,1.0
legal services clients,1.5
convened client,1.0
legal services,1.0
conference papers,1.0
diverse group,1.0
program staff,1.0
program staff,1.0
true cross section,1.5
reporting period,1.0
leadership sensitivity,1.0
client communities,1.0
legal services staff,1.5
community advocates,1.0
client advocates,1.0
three-day conference,1.0
legal services community,1.5
statewide activity,1.0
legal services,1.0
conference discussions,1.0
national partners,1.0
participant solicitation,1.0
client community,1.0
possible guide,1.0
legal services delivery,1.5
draft characteristics,1.0
draft characteristics,1.0
accepting comments,1.0
telephone intake,1.0
draft characteristics,1.0
ideal telephone intake,1.5
referral systems,1.0
describing standards,1.0
reporting period,1.0
referral system,1.0
Program Letter,1.0
evaluating programs,1.0
practice standard,1.0
intake systems,1.0
solicited input,1.0
intake systems,1.0
notified programs,1.0
electronic mail,1.0
program directors,1.0
considering comments,1.0
service areas,1.0
Program Mergers,1.0
Making Mergers Work,1.5
program requirements,1.0
LSC approval,1.0
clearance process,1.0
service area,1.0
specific opportunities,1.0
handling program mergers,1.5
several offices,1.0
primary responsibility,1.0
program mergers,1.0
grant applicants,1.0
recipient fund balances,1.5
final rule,1.0
retaining fund balances,1.5
different program cultures,1.5
sale proceeds,1.0
reporting period,1.0
especially compelling,1.0
grant application requirements,1.5
strategic plan,1.0
legal services,1.0
solicited public,1.0
internal procedures,1.0
final report,1.0
Six Month Period,1.5
special telephonic conference,1.5
sub-granting part,1.0
grant year,1.0
Rulemaking Activities,1.0
final rule,1.0
reporting period,1.0
fund balances,1.0
carryover balances,1.0
overage results,1.0
insurance proceeds,1.0
fund balance,1.0
thorough review,1.0
unnecessary duplication,1.0
review effort,1.0
regulatory compliance,1.0
dministration Mauricio Vivero,1.5
statutory restriction,1.0
eligible aliens,1.0
legal assistance,1.0
applicable statutory provisions,1.5
extensive record,1.0
nonprofit corporation,1.0
appropriations act,1.0
11 voting members,1.5
political party,1.0
public hearings,1.0
presence requirement,1.0
eligible aliens,1.0
alien representation,1.0
permanent aliens,1.0
thorough analysis,1.0
agricultural workers,1.0
eligible aliens,1.0
specific employment contract,1.5
several classes,1.0
unrestricted categories,1.0
sole exception,1.0
employment rights,1.0
unrestricted categories,1.0
permanent resident,1.0
direct impact,1.0
legal assistance,1.0
eligible aliens,1.0
conducting audits,1.0
ordinary meaning,1.0
physically present,1.0
particular interest,1.0
agricultural workers,1.0
legal representation,1.0
agricultural employers,1.0
growers associations,1.0
presence requirement,1.0
recent complaint,1.0
Statutory Analysis,1.0
law governing,1.0
statutory scheme,1.0
agricultural workers,1.0
legal assistance,1.0
long-standing practice,1.0
formal regulation,1.0
statutory analysis,1.0
appropriations act,1.0
ordinary meaning,1.0
physically present,1.0
relevant question,1.0
single interpretation,1.0
physically present,1.0
important context,1.0
express statement,1.0
physically present,1.0
authorization language keys representation,2.0
factual record,1.0
statutory scheme,1.0
statutory language,1.0
presence requirement,1.0
immigration status,1.0
physical presence,1.0
legal assistance,1.0
legal question,1.0
presence requirement,1.0
federally-authorized travel,1.0
legal services representation,1.5
legal representation,1.0
largely meaningless,1.0
brief periods,1.0
employment contracts,1.0
interpretive problems,1.0
presence requirement,1.0
statutory language,1.0
legislative history,1.0
Legislative History,2.0
meaningful representation,1.0
eligible aliens,1.0
presence requirement,1.0
presence language,1.0
express purpose,1.0
specific contract,1.0
working conditions,1.0
statutory context,1.0
unrestricted categories,1.0
legal services representation,1.5
brief periods,1.0
presence requirement,1.0
employment contract,1.0
extraordinary burdens,1.0
low income persons,1.5
legal representation,1.0
neither available,1.0
lawful residents,1.0
legal question,1.0
physically present,1.0
legal representation,1.0
following findings,1.0
inter alia,1.0
legal services attorneys,1.5
opposing parties,1.0
client leaves,1.0
possible interpretations,1.0
private bar,1.0
legal services,1.0
physically present,1.0
factual record,1.0
important context,1.0
physically present,1.0
legislative history,1.0
legal assistance,1.0
lawful aliens,1.0
resident aliens,1.0
clear purpose,1.0
unrestricted aliens,1.0
seasonal nature,1.0
agricultural work,1.0
field work,1.0
cultural practices,1.0
agricultural worker,1.0
common claims,1.0
twelve month period,1.5
generally ripen,1.0
legal representation,1.0
established practice,1.0
agricultural workers,1.0
agricultural workers,1.0
legal claims,1.0
agricultural worker,1.0
private counsel,1.0
legal representation,1.0
professional obligations,1.0
recipient attorneys,1.0
physically present,1.0
physically present,1.0
current interpretation,1.0
held hearings,1.0
agricultural workers,1.0
live testimony,1.0
public hearings,1.0
agricultural workers,1.0
legal assistance,1.0
legal assistance,1.0
alternative interpretations,1.0
presence requirement,1.0
FACTUAL FINDINGS,1.0
presence requirement,1.0
legal representation,1.0
physically present,1.0
factual findings,1.0
permanent residents,1.0
permanent residents,1.0
specific group,1.0
current law,1.0
legal assistance,1.0
permanent residence,1.0
certain classes,1.0
permanent resident,1.0
