
 Bigram NP 
financial reporting 35
sarbanes-oxley act 19
corporate governance 15
internal control 9
financial information 9
independent spirit 6
corporate management 6
fair value 5
forward-looking information 4
new reporting 4
jenkins committee 4
financial statement 4
public confidence 4
current model 3
silver bullet 3
qualified board 3
comprehensive reporting 3
financial management 3
full disclosure 3
nonfinancial information 3
public interest 3
exchange commission 3
same time 3
accountability forum 3
important role 2
it responsibility 2
global crossing 2
such information 2
civil-based enforcement 2
federal government 2
it business 2
safe harbor 2
overall performance 2
right thing 2
financial audit 2
important issue 2
public accounting 2
additional information 2
forensic auditing 2
trueblood committee 2
high-level operating 2
comprehensive business 2
public trust 2
it funding 2
their role 2
human capital 2
american institute 2
disciplinary process 2
accounting profession 2
such layering 2
general agreement 2
gao report 2
federal reserve 2
principle-based accounting 2
it oversight 2
current environment 2
it ability 2
related training 1
attitudinal shift 1
it agenda 1
technical knowledge 1
historical information 1
their relationship 1
21st century 1
specific layer 1
possible violation 1
major accountability 1
forensic audit 1
adversarial relationship 1
efficient audit 1
necessary incentive 1
human behavior 1
legal system 1
independent party 1
it protection 1
same set 1
historical value 1
supply side 1
considerable experience 1
right kind 1
it core 1
reasonable transparency 1
nonfinanical information 1
strong framework 1
little progress 1
large technology 1
strong executive 1
related enforcement 1
nasdaq chairman 1
additional inconsistency 1
appropriate degree 1
it enforcement 1
our work 1
federal/state regulation 1
audit effectiveness 1
substantive auditing 1
executive performance 1
financial literacy 1
basic level 1
constructive role 1
sec operation 1
their ability 1
fiscal year 1
slow moving 1
pcaob participant 1
512-2537 fax 1
steinhoffj @ 1
expectation gap 1
treadway commission 1
sufficient funding 1
address service 1
different reporting 1
nelliganj @ 1
study group 1
managing director 1
www.gao.gov/fraudnet/fraudnet.htm e-mail 1
useful information 1
knowledge-based economy 1
current system 1
last year 1
immediate priority 1
their entirety 1
substantive testing 1
voluntary process 1
such verification 1
current accounting 1
forwardlooking information 1
collective discussion 1
overall business 1
shareholders' point 1
salaried position 1
mutual interest 1
ongoing basis 1
litigious environment 1
general shaking 1
new enforcement 1
complex accounting 1
their oversight 1
useful business 1
corporate culture 1
bdo seidman 1
increased globalization 1
related auditor 1
informative auditor 1
one-page audit 1
future cash 1
regulatory system 1
difficult task 1
it disciplinary 1
short-term business 1
additional enforcement 1
state auditor 1
external audit 1
united kingdom 1
enforcement action 1
and/or implement 1
financial liability 1
complex relationship 1
broad range 1
absolute assurance 1
their job 1
important aspect 1
llp commissioner 1
attribution-based dialogue 1
it use 1
their competence 1
effective functioning 1
their knowledge 1
increased interest 1
legal liability 1
current funding 1
flourishing market 1
key information 1
subject matter 1
rule-based accounting 1
undesirable situation 1
conceptual framework 1
good government 1
fundamental focuses-ethics/integrity 1
information need 1
checklist mentality 1
512-6061 contact 1
other information 1
extensive experience 1
material fraud 1
pricewaterhouse cooper 1
serious concern 1
federal involvement 1
it discussion 1
comprehensive report 1
printed report 1
negative reflection 1
their degree 1
their form 1
full-text document 1
informed oversight 1
thorough understanding 1
jeff nelligan 1
standard auditor 1
appropriate accountability 1
likely ask 1
investigative arm 1
single address 1
other assistance 1
special interest 1
qualitative information 1
strong board 1
significant measure 1
right mix 1
enhanced value 1
treasurer partner 1
dominant member 1
negative effect 1
regulatory reform 1
clean audit 1
it technology 1
reasonable assurance 1
llp gao 1
private use 1
it workload 1
private litigation 1
major reform 1
economic substance 1
particular company's 1
individual participant 1
sponsoring organization 1
artful blend 1
gi00 united 1
recent publicity 1
chief executive 1
national association 1
their independence 1
gao observation 1
first copy 1
other accountability 1
adequate transparency 1
good requirement 1
overall system 1
their cooperation 1
many audit 1
new information 1
risk-taking environment 1
waste management 1
new structure 1
report fraud 1
jenkins committee4 1
new model 1
effective board 1
great instability 1
micro strategy 1
their focus 1
key performance 1
special committee 1
future performance 1
significant deficiency 1
independent auditor 1
financial accounting 1
reportable condition 1
director recent 1
foreign language 1
fresh look 1
unintended consequence 1

 Trigram NP 
current financial reporting 3
it own funding 2
effective corporate governance 2
g street nw 2
general accounting office 2
traditional financial statement 2
